SITE CODE= 65034’·‰ªŽs’†”V“‡            ,37.4962,137.2705, 15.86,7.6,45292.6738723, 23.12, 39.73
 LAT.=   37.5478
 LON.=  138.8773
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 30
 NS,EW,UD
-0.137,-0.148,0.491
-0.127,-0.159,0.372
-0.103,-0.125,0.242
-0.088,-0.053,0.041
-0.059,0.009,-0.234
-0.012,0.021,-0.523
0.049,-0.010,-0.765
0.129,-0.051,-0.935
0.181,-0.089,-1.036
0.180,-0.076,-1.022
0.139,-0.021,-0.840
0.073,-0.007,-0.533
-0.002,-0.051,-0.190
-0.058,-0.123,0.154
-0.087,-0.136,0.564
-0.096,-0.054,1.080
-0.075,0.075,1.589
-0.030,0.186,1.875
0.045,0.236,1.770
0.149,0.250,1.262
0.229,0.228,0.490
0.244,0.160,-0.335
0.186,0.079,-1.017
0.081,0.039,-1.389
-0.040,0.064,-1.390
-0.154,0.086,-1.091
-0.241,0.031,-0.620
-0.278,-0.106,-0.133
-0.281,-0.257,0.227
-0.286,-0.365,0.335
-0.320,-0.385,0.188
-0.382,-0.294,-0.021
-0.422,-0.120,-0.088
-0.394,0.079,0.037
-0.277,0.220,0.256
-0.113,0.258,0.493
0.047,0.187,0.786
0.167,0.037,1.216
0.195,-0.145,1.730
0.145,-0.301,2.138
0.064,-0.311,2.281
-0.005,-0.132,2.139
-0.035,0.152,1.780
-0.019,0.365,1.254
0.053,0.413,0.636
0.173,0.358,0.006
0.308,0.273,-0.583
0.401,0.209,-1.037
0.433,0.167,-1.272
0.438,0.144,-1.246
0.422,0.154,-1.006
0.388,0.178,-0.718
0.315,0.218,-0.522
0.186,0.262,-0.459
0.052,0.269,-0.491
-0.021,0.213,-0.509
-0.022,0.125,-0.440
0.024,0.058,-0.242
0.099,0.041,0.095
0.177,0.051,0.501
0.229,0.026,0.859
0.246,-0.051,1.057
0.214,-0.161,1.070
0.124,-0.249,0.966
0.003,-0.289,0.849
-0.126,-0.273,0.766
-0.220,-0.223,0.663
-0.249,-0.174,0.511
-0.254,-0.120,0.316
-0.282,-0.097,0.081
-0.352,-0.100,-0.240
-0.430,-0.118,-0.657
-0.484,-0.113,-1.080
-0.515,-0.052,-1.404
-0.518,0.001,-1.576
-0.480,0.036,-1.562
-0.384,0.047,-1.348
-0.267,0.065,-0.991
-0.197,0.087,-0.605
-0.181,0.097,-0.275
-0.173,0.118,-0.012
-0.129,0.125,0.211
-0.059,0.125,0.416
-0.001,0.098,0.543
0.013,0.067,0.518
-0.001,0.061,0.334
-0.003,0.048,-0.006
-0.004,0.008,-0.410
0.010,-0.057,-0.740
0.054,-0.061,-0.854
0.153,0.009,-0.680
0.318,0.109,-0.286
0.458,0.187,0.178
0.526,0.206,0.556
0.537,0.215,0.785
0.497,0.212,0.870
0.428,0.220,0.851
0.326,0.271,0.776
0.215,0.358,0.647
0.170,0.459,0.481
0.225,0.504,0.263
0.323,0.451,0.022
0.384,0.321,-0.206
0.383,0.218,-0.430
0.322,0.198,-0.598
0.206,0.237,-0.673
0.045,0.307,-0.651
-0.153,0.345,-0.596
-0.334,0.350,-0.566
-0.467,0.348,-0.547
-0.564,0.316,-0.517
-0.676,0.277,-0.438
-0.822,0.256,-0.350
-0.936,0.268,-0.360
